id,title,description,min_level,section,image,section_image
1,What a Container Actually Is,"A lightweight way to run software, and exactly what gets bundled inside it.",1,Foundations,unit1.png,
2,Containers vs. Virtual Machines,Why a container is isolated from the host but nowhere near as heavy as a full VM.,1,Foundations,unit_d2.png,
3,"Solving ""It Works on My Machine""",How packaging an app with everything it needs removes an entire category of bugs.,1,Foundations,unit2.png,
4,Installing Docker,Getting the Docker engine and CLI running on your machine.,1,Docker Basics,unit3.png,
5,Images vs. Containers,"The blueprint, and the running thing built from it — one of the most important distinctions in Docker.",1,Docker Basics,unit4.png,
6,Running Your First Container,"docker run, and what actually happens when you type it.",1,Docker Basics,unit5.png,
7,docker run Pulls Images Automatically,What happens when you docker run an image you don't have locally yet.,1,Docker Basics,unit_d7.png,
8,Stopping a Running Container,"docker stop, and what happens to a container after it stops.",1,Docker Basics,unit6.png,
9,Removing a Container,"docker rm, and what it takes to delete a container for good.",1,Docker Basics,unit_d9.png,
10,A Container's Lifecycle,"The predictable path every container follows, from created to gone.",1,Docker Basics,unit_d10.png,
11,Pulling Images From Docker Hub,Downloading a ready-made image instead of building your own from scratch.,1,Working With Images,unit7.png,
12,Image Layers and Caching,"Why rebuilding an image is usually fast, and how to keep it that way.",1,Working With Images,unit8.png,
13,Writing Your First Dockerfile,The recipe Docker follows to build your image.,1,Working With Images,unit9.png,
14,The FROM Instruction,FROM sets the base image every build starts from.,1,Working With Images,unit10.png,
15,The COPY Instruction,COPY adds your own files into the image being built.,1,Working With Images,unit_d15.png,
16,The RUN Instruction,RUN executes a command while the image is being built.,1,Working With Images,unit_d16.png,
17,The CMD Instruction,CMD sets what runs when a container built from this image starts.,1,Working With Images,unit_d17.png,
18,Building an Image,Turning a Dockerfile into something you can actually run.,1,Working With Images,unit11.png,
19,Multi-Stage Builds,"Building with all your dev tools, then shipping only what production actually needs.",1,Working With Images,unit12.png,
20,Tagging and Versioning Images,Giving images meaningful version names so you know exactly what's running where.,1,Working With Images,unit13.png,
21,The 'latest' Tag Isn't Special,Why latest doesn't automatically mean 'the newest build'.,1,Working With Images,unit_d21.png,
22,Mapping Ports,Letting traffic from your machine actually reach a container.,1,Running Containers Well,unit14.png,
23,Environment Variables in Containers,Configuring a container's behavior without changing its image.,1,Running Containers Well,unit15.png,
24,Bind Mounts,Linking a folder on your host straight into a running container.,1,Running Containers Well,unit16.png,
25,Volumes,"Storage Docker creates and manages for you, instead of a folder you pick.",1,Running Containers Well,unit_d25.png,
26,Container Networking Basics,How containers find and talk to each other.,1,Running Containers Well,unit17.png,
27,Getting a Shell Inside a Running Container,Debugging a container from the inside when logs alone aren't enough.,1,Running Containers Well,unit18.png,
28,Reading Container Logs,"docker logs, the first place to look when something's not behaving.",1,Managing Containers,unit19.png,
29,Inspecting a Container,"docker inspect, for when logs alone don't explain what's wrong.",1,Managing Containers,unit_d29.png,
30,Setting Resource Limits,Stopping one container from eating all your machine's CPU or memory.,1,Managing Containers,unit20.png,
31,Restart Policies,Telling Docker what to do when a container crashes or the machine reboots.,1,Managing Containers,unit21.png,
32,Why You Need Docker Compose,Running an app made of several containers without typing a dozen docker run commands.,1,Multi-Container Apps,unit22.png,
33,Writing a docker-compose.yml,Describing your whole multi-container app in one file.,1,Multi-Container Apps,unit23.png,
34,Networking Between Compose Services,How services in the same Compose file find each other by name.,1,Multi-Container Apps,unit24.png,
35,Compose Volumes and Config,Persisting data and passing configuration across a multi-service app.,1,Multi-Container Apps,unit25.png,
36,Keeping Images Small,"Why a smaller image builds faster, ships faster, and has a smaller attack surface.",1,Image Best Practices,unit26.png,
37,Using .dockerignore,Keeping junk out of your build context so builds stay fast and images stay clean.,1,Image Best Practices,unit27.png,
38,Avoiding Baked-In Secrets,Why secrets should never end up inside an image's layers.,1,Image Best Practices,unit28.png,
39,Run as a Non-Root User,Limiting what an attacker could do if your app is ever compromised.,1,Image Best Practices,unit_d39.png,
40,Use Trusted Base Images,"Why the base image you FROM matters for security, not just size.",1,Image Best Practices,unit_d40.png,
41,Docker Hub and Private Registries,"Where images actually live, and why you might want your own registry.",1,Sharing Images,unit29.png,
42,Pushing and Pulling From a Registry,"Sharing an image with a teammate, a server, or the world.",1,Sharing Images,unit30.png,
43,Cleaning Up Unused Docker Resources,"Reclaiming disk space from old images, stopped containers, and dangling volumes.",1,Housekeeping,unit31.png,
44,Why You'd Eventually Need an Orchestrator,"What starts to break once you have more containers than one machine, setting up why Kubernetes exists.",1,What's Next,unit32.png,
